ID venta,Articulo vendido,Cliente asociado,Fecha de venta,Método de pago,Fecha de entrega
1,2GKALSEK5E6123456,21,2026-01-23,Transacción bancaria,2026-01-25
2,2GKKCLSEK5E6123456,22,2026-01-24,Transacción bancaria,2026-01-26
3,1HGCR2F38EA123456,23,2026-01-25,Transacción bancaria,2026-01-27
4,1HGCR2F38MBVA123456,24,2026-01-26,Transacción bancaria,2026-01-28
5,3LN6L2G99ER123456,25,2026-01-27,Transacción bancaria,2026-01-29
6,3LN6L2G99NVBB123456,26,2026-01-28,Transacción bancaria,2026-01-30
7,5N1AT2MTXFC123456,27,2026-01-29,Transacción bancaria,2026-01-31
8,5N1AT2MTXC123456,28,2026-01-30,Transacción bancaria,2026-02-01
9,1GKS2HKJ1GR123456,29,2026-01-31,Transacción bancaria,2026-02-02
10,1GKS2HKJ1R123456,30,2026-02-01,Transacción bancaria,2026-02-03
11,2C3CDZAG8CH123456,31,2026-02-02,Transacción bancaria,2026-02-04
12,2C3CDZAG8C123456,32,2026-02-03,Transacción bancaria,2026-02-05
13,JTNB11HK6JH123456,33,2026-02-04,Transacción bancaria,2026-02-06
14,JTNB11HK6H123456,34,2026-02-05,Transacción bancaria,2026-02-07
15,JH4DC53014C012345,35,2026-02-06,Transacción bancaria,2026-02-08
16,5XYZU3LB6GG123456,36,2026-02-07,Transacción bancaria,2026-02-09
17,5XYZU3LB6G123456,37,2026-02-08,Transacción bancaria,2026-02-10
18,5NPD84LF6JH123456,38,2026-02-09,Transacción bancaria,2026-02-11
19,1FTFW1ET9EFD12345,39,2026-02-10,Transacción bancaria,2026-02-12
20,1FTFW1ET9D12345,40,2026-02-11,Transacción bancaria,2026-02-13
21,1FAFP48Y83F301234,41,2026-02-12,Transacción bancaria,2026-02-14
22,5TDBK3EH9CS123456,42,2026-02-13,Transacción bancaria,2026-02-15
23,5TDBK39CS123456,43,2026-02-14,Transacción bancaria,2026-02-16
24,WDDUG8CBXEA123456,44,2026-02-15,Transacción bancaria,2026-02-17
25,WDDRG8CBXEA123456,45,2026-02-16,Transacción bancaria,2026-02-18
26,1G1BE5SM6G7246789,46,2026-02-17,Transacción bancaria,2026-02-19
27,1G1BE5SM6G7267789,47,2026-02-18,Transacción bancaria,2026-02-20
28,2C3CDXJG5KH123456,48,2026-02-19,Transacción bancaria,2026-02-21
29,2C3CDXPG5KH123456,49,2026-02-20,Transacción bancaria,2026-02-22
30,2HKRM4H73EH123456,50,2026-02-21,Transacción bancaria,2026-02-23
31,2HKRM4H73EH12456,51,2026-02-22,Transacción bancaria,2026-02-24
32,1C4RJFBG8EC123456,52,2026-02-23,Transacción bancaria,2026-02-25
33,1C4RJWBG8EC123456,53,2026-02-24,Transacción bancaria,2026-02-26
34,KNMAT2MTXHP123456,54,2026-02-25,Transacción bancaria,2026-02-27
35,KNMAT2QTXHP123456,55,2026-02-26,Transacción bancaria,2026-02-28
36,19XFB2F50CE123456,56,2026-02-27,Transacción bancaria,2026-03-01
37,19XLB2F50CE123456,57,2026-02-28,Transacción bancaria,2026-03-02
38,1GNSCBE01ER123456,58,2026-03-01,Transacción bancaria,2026-03-03
39,1GNSCBW01ER123456,59,2026-03-02,Transacción bancaria,2026-03-04
40,YV1MW382682123456,60,2026-03-03,Transacción bancaria,2026-03-05
41,YV3MW382682123456,61,2026-03-04,Transacción bancaria,2026-03-06
42,1LNEM81W95Y123456,62,2026-03-05,Transacción bancaria,2026-03-07
43,1C6RR7GT1DS123456,63,2026-03-06,Transacción bancaria,2026-03-08
44,1C6RR7GV1DS123456,64,2026-03-07,Transacción bancaria,2026-03-09
45,3C4PDCAB1HT123456,65,2026-03-08,Transacción bancaria,2026-03-10
46,3C4PDCAM1HT123456,66,2026-03-09,Transacción bancaria,2026-03-11
47,JM1GJ1V62F1234567,67,2026-03-10,Transacción bancaria,2026-03-12
48,KM8SRDHF7FU123456,68,2026-03-11,Transacción bancaria,2026-03-13
49,1GYS4JKJ6HR123456,2,2026-03-12,Transacción bancaria,2026-03-14